age	CO2
0.011870148	311.9410288
0.01213212	311.5205097
0.012233307	312.3293255
0.013136786	307.4076932
0.014126642	309.3446869
0.014290543	307.2585986
0.014943699	306.3197984
0.016123575	309.6306261
0.016406951	307.0755443
0.017219076	305.9440282
0.017462701	308.2791992
0.017706396	308.2555622
0.019170306	305.7409187
0.020613674	305.3808267
0.0212564	305.7829415
0.021460693	305.7053722
0.0218432	305.6678685
0.02220354	308.0187419
0.024686957	304.9691568
0.025251619	304.7159147
0.027163117	306.1986243
0.027494958	303.1815383
0.030292219	301.8758604
0.031331601	304.6132073
0.032125412	303.8522213
0.034213969	301.9151507
0.035607004	300.7000887
0.03748486	301.2977262
0.038714986	299.2572775
0.038904612	297.7268154
0.039284149	298.106247
0.040235231	297.8691068
0.041476092	301.5041354
0.0442258	299.6268629
0.044456437	297.3282186
0.044649196	299.0235966
0.046093475	295.9913578
0.048298125	295.6106368
0.049821649	294.2207216
0.051057595	297.0473645
0.05134284	295.2814575
0.056243675	293.8088307
0.056341179	293.1665417
0.0569397	295.3164627
0.057121604	294.8594308
0.057609481	295.1719293
0.060131058	290.9175394
0.060992519	292.3423879
0.062605533	294.3417875
0.064399871	288.1157637
0.0658201	289.2265988
0.066208528	289.7624132
0.067077646	292.4639348
0.070049416	287.7707292
0.073094783	289.3281311
0.07626202	291.5581975
0.077173622	286.6550967
0.079955314	286.3257815
0.080343878	287.9864944
0.081585087	289.5361449
0.0822696	287.9922513
0.083256112	285.0522923
0.085871618	286.6541582
0.087021444	285.3533188
0.088165519	287.1745622
0.091155959	286.6330756
0.093379672	283.1621007
0.095281619	285.5655772
0.096291725	288.0544375
0.098894353	285.4658309
0.099173	288.7903954
0.099737618	284.001634
0.1026782	286.8392375
0.104095109	283.6198857
0.105345346	283.182872
0.10553889	283.5311237
0.106706787	281.5814826
0.109171843	283.6545457
0.1132998	284.151984
0.1168228	283.8203923
0.117126224	285.0861667
0.1230777	285.9089399
0.125255	281.3603653
0.1363403	284.4312876
0.1506636	282.7995519
0.1535285	280.4044367
0.1540565	282.3047107
0.1559035	281.617118
0.1697001	273.073717
0.1705109	280.2362982
0.1765445	277.8559525
0.1863032	276.396102
0.1871218	277.1556866
0.1978706	278.0020011
0.1980684	276.4573287
0.2008801	277.6000739
0.2087428	276.809
0.216128	278.3109425
0.2269926	277.0133098
0.2271356	278.2701102
0.2559336	277.3580509
0.2602586	276.3246168
0.2681057	276.6596678
0.3009031	278.0152295
0.3101855	276.6872123
0.3214007	273.7807623
0.3405392	271.1090305
0.3465814	275.0665778
0.3590094	279.3568611
0.3618233	281.1089282
0.3769871	282.5698275
0.3901371	281.8290415
0.4003525	283.5296826
0.4203243	283.9478904
0.4484714	283.1247804
0.4806032	280.3125047
0.5008362	282.2265804
0.5211956	279.7256959
0.5391394	279.6965499
0.5596679	280.9115788
0.6011501	278.3621212
0.61988	284.0676433
0.6425528	281.578409
0.6718032	278.4312489
0.6904929	282.1992861
0.6987306	282.4131105
0.739045	283.6882892
0.7501886	284.5400442
0.7840184	283.9659747
0.8037131	284.5105844
0.8343911	282.8416314
0.8505902	283.0944583
0.8797973	282.844416
0.90082294	280.9667443
0.90992083	280.9161702
0.93072784	280.0645297
0.93242209	279.7987034
0.96734583	278.7402402
0.99234736	277.4071684
1.03587184	280.1055259
1.0745898	279.4204406
1.12767222	278.6230032
